"business_id","name","address","city","state","postal_code","business_lat","business_long","overall_business_stars","overall_review_count","business_open","categories","hours","isromantic","isintimate","istouristy","ishipster","isdivey","isclassy","istrendy","isupscale","iscasual","parking_garage","parking_street","parking_validated","parking_lot","parking_valet","alcohol","outdoorseating","restaurantstableservice","bikeparking","happyhour","byob","businessacceptscreditcards","restaurantscounterservice","hastv","restaurantspricerange2","restaurantsreservations","restaurantsdelivery","wifi","restaurantstakeout","n_photo","year","attribute_count","check_in_count","review_count","average_stars"
"00AGVWzkxNLGb-7ZrwAOIA","Ever Green","4726 Spruce Ct","Philadelphia","PA","19139","39.9532594","-75.2170205","3.0",70,1,"Restaurants, Chinese","{""Friday"": ""11:0-0:0"", ""Monday"": ""11:0-23:0"", ""Sunday"": ""12:0-23:0"", ""Tuesday"": ""11:0-23:0"", ""Saturday"": ""11:0-0:0"", ""Thursday"": ""11:0-23:0"", ""Wednesday"": ""11:0-23:0""}",False,False,False,False,True,False,False,False,False,False,True,False,False,False,"none'","False",NULL,"True",NULL,NULL,"False",NULL,"True","1","False","True","no'","True","0","2018",9,"2","6","2.0000"
"00AGVWzkxNLGb-7ZrwAOIA","Ever Green","4726 Spruce Ct","Philadelphia","PA","19139","39.9532594","-75.2170205","3.0",70,1,"Restaurants, Chinese","{""Friday"": ""11:0-0:0"", ""Monday"": ""11:0-23:0"", ""Sunday"": ""12:0-23:0"", ""Tuesday"": ""11:0-23:0"", ""Saturday"": ""11:0-0:0"", ""Thursday"": ""11:0-23:0"", ""Wednesday"": ""11:0-23:0""}",False,False,False,False,True,False,False,False,False,False,True,False,False,False,"none'","False",NULL,"True",NULL,NULL,"False",NULL,"True","1","False","True","no'","True","0","2019",9,"2","0","0.0"
"00rIcvqmfci_oJWkOqPqmg","T & F Farmers Pride","8101 Ridge Ave","Philadelphia","PA","19128","40.0571665","-75.2357367","4.5",92,1,"Specialty Food, Delis, Sandwiches, Fruits & Veggies, International Grocery, Grocery, Food, Restaurants, Farmers Market","{""Friday"": ""9:0-17:0"", ""Monday"": ""0:0-0:0"", ""Sunday"": ""9:0-16:0"", ""Tuesday"": ""9:0-17:0"", ""Saturday"": ""10:0-15:0"", ""Thursday"": ""9:0-17:0"", ""Wednesday"": ""9:0-17:0""}",False,False,False,False,False,False,False,False,False,False,True,False,True,False,"none'","True","False","True",NULL,"False","False",NULL,"False","1","False","False","no'","True","5","2018",8,"8","8","4.7500"
"00rIcvqmfci_oJWkOqPqmg","T & F Farmers Pride","8101 Ridge Ave","Philadelphia","PA","19128","40.0571665","-75.2357367","4.5",92,1,"Specialty Food, Delis, Sandwiches, Fruits & Veggies, International Grocery, Grocery, Food, Restaurants, Farmers Market","{""Friday"": ""9:0-17:0"", ""Monday"": ""0:0-0:0"", ""Sunday"": ""9:0-16:0"", ""Tuesday"": ""9:0-17:0"", ""Saturday"": ""10:0-15:0"", ""Thursday"": ""9:0-17:0"", ""Wednesday"": ""9:0-17:0""}",False,False,False,False,False,False,False,False,False,False,True,False,True,False,"none'","True","False","True",NULL,"False","False",NULL,"False","1","False","False","no'","True","5","2019",8,"6","14","4.9286"
"01mP5a06zQpaYOakfaVBOQ","Philly's Platinum Grille","7719 Crittenden St","Philadelphia","PA","19118","40.0727911933","-75.1949470435","2.5",61,1,"Restaurants, Soul Food, American (New), Nightlife, Bars","{""Friday"": ""12:0-22:0"", ""Monday"": ""17:0-22:0"", ""Sunday"": ""11:0-22:0"", ""Tuesday"": ""17:0-22:0"", ""Saturday"": ""11:0-23:0"", ""Thursday"": ""12:0-22:0"", ""Wednesday"": ""12:0-22:0""}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,"full_bar'","False",NULL,"False",NULL,NULL,"True",NULL,"True","2","True","False","'free'","True","0","2018",8,"5","5","2.2000"
"01mP5a06zQpaYOakfaVBOQ","Philly's Platinum Grille","7719 Crittenden St","Philadelphia","PA","19118","40.0727911933","-75.1949470435","2.5",61,1,"Restaurants, Soul Food, American (New), Nightlife, Bars","{""Friday"": ""12:0-22:0"", ""Monday"": ""17:0-22:0"", ""Sunday"": ""11:0-22:0"", ""Tuesday"": ""17:0-22:0"", ""Saturday"": ""11:0-23:0"", ""Thursday"": ""12:0-22:0"", ""Wednesday"": ""12:0-22:0""}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,"full_bar'","False",NULL,"False",NULL,NULL,"True",NULL,"True","2","True","False","'free'","True","0","2019",8,"4","5","2.6000"
"02nb6CI8w-2EoSEkQdk2Wg","Philadelphia Java Company","852 S 2nd St","Philadelphia","PA","19147","39.9361704128","-75.1469422175","4.0",101,1,"Bagels, Restaurants, Cafes, Food, Coffee & Tea","{""Friday"": ""6:0-19:0"", ""Monday"": ""6:0-19:0"", ""Sunday"": ""7:0-19:0"", ""Tuesday"": ""6:0-19:0"", ""Saturday"": ""7:0-19:0"", ""Thursday"": ""6:0-19:0"", ""Wednesday"": ""6:0-19:0""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,True,False,False,False,NULL,"True",NULL,"True",NULL,NULL,"True",NULL,NULL,"1",NULL,NULL,"free'","True","2","2018",5,"15","8","4.0000"
"02nb6CI8w-2EoSEkQdk2Wg","Philadelphia Java Company","852 S 2nd St","Philadelphia","PA","19147","39.9361704128","-75.1469422175","4.0",101,1,"Bagels, Restaurants, Cafes, Food, Coffee & Tea","{""Friday"": ""6:0-19:0"", ""Monday"": ""6:0-19:0"", ""Sunday"": ""7:0-19:0"", ""Tuesday"": ""6:0-19:0"", ""Saturday"": ""7:0-19:0"", ""Thursday"": ""6:0-19:0"", ""Wednesday"": ""6:0-19:0""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,True,False,False,False,NULL,"True",NULL,"True",NULL,NULL,"True",NULL,NULL,"1",NULL,NULL,"free'","True","2","2019",5,"6","11","3.7273"
"03cvVjbkCOtiIt51M-MLFg","Prime Halal Meat","500 S 23rd St","Philadelphia","PA","19146","39.9462612","-75.179681","4.5",65,1,"Restaurants, Specialty Food, Meat Shops, Food, Halal, Grocery","{""Friday"": ""15:0-20:0"", ""Sunday"": ""10:0-17:0"", ""Tuesday"": ""10:0-19:0"", ""Saturday"": ""10:0-20:0"", ""Thursday"": ""10:0-19:0"", ""Wednesday"": ""10:0-19:0""}",False,False,False,False,False,False,False,False,False,False,True,False,False,False,"none'","False",NULL,"False",NULL,NULL,"True",NULL,"True","1","False","False","no'","True","1","2018",4,"4","4","4.5000"
"03cvVjbkCOtiIt51M-MLFg","Prime Halal Meat","500 S 23rd St","Philadelphia","PA","19146","39.9462612","-75.179681","4.5",65,1,"Restaurants, Specialty Food, Meat Shops, Food, Halal, Grocery","{""Friday"": ""15:0-20:0"", ""Sunday"": ""10:0-17:0"", ""Tuesday"": ""10:0-19:0"", ""Saturday"": ""10:0-20:0"", ""Thursday"": ""10:0-19:0"", ""Wednesday"": ""10:0-19:0""}",False,False,False,False,False,False,False,False,False,False,True,False,False,False,"none'","False",NULL,"False",NULL,NULL,"True",NULL,"True","1","False","False","no'","True","1","2019",4,"2","4","5.0000"
